1140868226,aspirin,4.7.1
1140871310,ibuprofen,10.1.1
1140861958,simvastatin,2.12
1141188442,glucosamine product,10.1.5
1140865634,omeprazole,1.3.5
1140909674,cod liver oil capsule,9.6.1
1141194794,bendroflumethiazide,2.2.1
1140860806,ramipril,2.5.5
1140879802,amlodipine,2.6.2
1141191044,levothyroxine sodium,6.2.1
1140866738,atenolol,2.4
1193,omega-3/fish oil supplement,2.12
1140864752,lansoprazole,1.3.5
1141146234,atorvastatin,2.12
1140852976,multivitamins,9.6.7
1140861998,ventolin 100micrograms inhaler,3.1.1
1140884600,metformin,6.1.2
1140860696,lisinopril,2.5.5
1140923346,co-codamol,4.7.1
1140884488,diclofenac,10.1.1
1140879616,amitriptyline,4.3.1
1140921600,citalopram,4.3.3
1140879406,ranitidine,1.3.1
1140879760,bisoprolol,2.4
1140916682,evening primrose oil,13.2.1
1140888560,perindopril,4.7.2
1195,vitamin c product,9.6.3
1140909726,vitamin c product,9.6.3
1140922174,alendronate sodium,6.6.2
1140879778,doxazosin,2.5.4
1140883504,cetirizine,3.4.1
1140875408,allopurinol,10.1.4
1140881856,salbutamol,3.1.1
1141176832,seretide 50 evohaler,3.2
1141156836,candesartan cilexetil,2.5.5
1140879540,fluoxetine,4.3.3
1140884516,thyroxine product,6.2.1
1140864992,tramadol,4.7.2
1140871050,calcichew d3 tablet,9.6.4
1140888266,warfarin,2.8.2
1140916356,losartan,2.5.5
1140874744,gliclazide,6.1.2
1140926934,tamsulosin,7.4.1
1140909786,beclometasone,3.2
1140888646,felodipine,2.6.2
1140870422,folic acid product,9.1.2
1141164828,adcal-d3 1.5g/10micrograms chewable tablet,9.6.4
1141152998,irbesartan,2.5.5
1140888552,enalapril,2.5.5
1140909708,furosemide,2.2.2
1140862772,loratadine,3.4.1
1140871024,vitamin b compound tablet,9.6.2
1141146138,lipitor 10mg tablet,2.12
1140871462,naproxen,10.1.1
1141168318,clopidogrel,2.9
1140879842,propranolol,2.4
